30.038;-0.6403;-0.54997
30.223;-0.63951;-0.55228
39.785;-0.59856;-0.65307
40.161;-0.59855;-0.65551
50.096;-0.59823;-0.69603
50.192;-0.59838;-0.6966
60.031;-0.61344;-0.78345
60.13;-0.61384;-0.7843
70.156;-0.65453;-0.86969
70.349;-0.65631;-0.87198
79.719;-0.74224;-1.02657
80.289;-0.74609;-1.03734
90.042;-0.81193;-1.22342
90.406;-0.81438;-1.23061
99.89;-0.99513;-1.45091
100.44;-1.00563;-1.46669
109.913;-1.20724;-1.76227
110.397;-1.21957;-1.77675
119.855;-1.46062;-2.02015
120.058;-1.46555;-2.02496
130.266;-1.71398;-2.27809
130.469;-1.72041;-2.2835
140.21;-2.02949;-2.54467
140.318;-2.03152;-2.54723
150.057;-2.21556;-2.7418
150.446;-2.22291;-2.74883
